precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LAZĂR-ŞERBĂNESCU JAQUELINE-MARILENA-PARTIDUL ROMÂNIEI EUROPENE-voturi","CICEU GABRIEL-CIPRIAN-PARTIDUL RE:START ROMÂNIA-voturi","TOADER FLORIN-PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","MAMOC REMUS-BOGDAN-PARTIDUL ROMÂNIA MARE-voturi","ARMAND CLOTILDE-MARIE-BRIGITTE-ALIANȚA USR PLUS-voturi","CURIC ELENA-PARTIDUL NAȚIUNEA ROMÂNĂ-voturi","DÎRLĂU ANDREI-EMIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUCURA DANIEL-voturi","SCHINAGEL-COSTEA TUDOR-HELMUT-voturi","TUDORACHE DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","CONSTANTIN IOANA-FELICIA-PARTIDUL MIȘCAREA POPULARĂ-voturi","NENOVICI AMALIA-PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALBERTS ADINA-MAGDALENA-ALIANȚA PRO BUCUREȘTI 2020-voturi","MECHNO CRINA-VERONICA-PARTIDUL VERDE-voturi","MUSTĂREAŢĂ MĂDĂLINA-ANDREEA-PARTIDUL SOCIAL DEMOCRAT INDEPENDENT-voturi","BAHMUŢEANU ADRIANA-CRISTINA-PARTIDUL ECOLOGIST ROMÂN-voturi","GEREA ANDREI-DOMINIC-PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","CIULU MIOARA-SABINA-PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-voturi","CULEA MARIAN-ORLANDO-PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-voturi","ONORIU EMANUEL-MIȘCAREA PATRIOȚILOR ROMÂNI-voturi"
42,"MUNICIPIUL BUCUREŞTI","ACADEMIA DE POLIȚIE ”ALEXANDRU IOAN CUZA”",165,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:20:01",1699,1568,110,20,1,817,795,1,20,1,789,6,1600,805,0,0,1,3,428,0,8,8,5,236,40,13,22,12,0,8,3,2,0,0
42,"MUNICIPIUL BUCUREŞTI","ACADEMIA DE POLIȚIE ”ALEXANDRU IOAN CUZA”",166,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:20:01",1600,1546,24,30,0,832,801,1,30,0,825,7,1600,768,2,3,1,2,369,0,0,15,4,319,44,14,24,15,1,10,1,0,0,1
42,"MUNICIPIUL BUCUREŞTI","ACADEMIA DE STUDII ECONOMICE DIN BUCUREŞTI",68,"BUCUREŞTI SECTORUL 1",179141,3,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:20:01",1008,955,35,15,3,319,300,1,15,3,305,7,1000,688,0,0,0,1,134,1,2,5,2,95,37,9,9,2,0,4,1,0,0,3
42,"MUNICIPIUL BUCUREŞTI","ACADEMIA DE STUDII ECONOMICE DIN BUCUREŞTI",69,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:20:01",652,633,13,5,1,250,244,0,5,1,245,5,800,550,0,2,0,0,92,0,1,9,1,98,30,5,3,1,1,0,2,0,0,0
42,"MUNICIPIUL BUCUREŞTI","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",88,"BUCUREŞTI SECTORUL 1",179141,5,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:20:01",1540,1511,11,18,0,624,604,2,18,0,615,9,1800,1176,1,0,1,2,287,0,3,15,3,200,51,6,16,12,2,13,2,0,1,0
42,"MUNICIPIUL BUCUREŞTI","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",90,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:20:01",1457,1432,10,10,5,648,633,0,10,5,640,8,1600,952,2,1,2,1,236,0,4,18,4,266,53,15,16,9,2,6,4,1,0,0
42,"MUNICIPIUL BUCUREŞTI","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",89,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:20:01",1217,1197,4,14,2,521,506,0,14,1,515,6,1400,879,4,2,2,0,204,1,3,8,2,230,37,9,3,4,0,3,1,0,0,2
42,"MUNICIPIUL BUCUREŞTI","CENTRUL SOCIAL SF. LAZĂR",30,"BUCUREŞTI SECTORUL 1",179141,5,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:20:01",1810,1765,28,17,0,866,849,0,17,0,848,18,1983,1117,2,2,3,1,401,1,11,20,3,306,50,14,19,7,3,0,1,4,0,0
42,"MUNICIPIUL BUCUREŞTI","CENTRUL SOCIAL SF. LAZĂR",28,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:20:01",1722,1683,26,10,3,836,819,4,10,3,820,14,1800,966,3,1,2,8,367,0,12,13,7,293,56,8,14,12,0,11,2,2,4,5
42,"MUNICIPIUL BUCUREŞTI","CENTRUL SOCIAL SF. LAZĂR",29,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:20:01",1369,1226,135,8,0,615,605,2,8,0,603,12,1400,785,0,0,0,4,345,0,0,7,3,184,29,10,7,7,0,4,1,1,0,1
